"Among steel shares, NKK rose 19 to 705 yen ($4.97) a share, and Nippon Steel gained 17 to 735.","O-Among O-steel O-shares O-, O-N X-##K X-##K O-rose O-19 O-to O-70 X-##5 O-ye X-##n B-$-( X-$ O-4 X-. X-97 O-) O-a O-share O-, O-and O-Nippon O-Steel O-gained O-17 O-to O-73 X-##5 O-."
"""On balance, the Street's biggest position has been UAL, mostly {bought} in the $280 range,"" said Frank Gallagher, director of Phoenix Capital Markets, who follows arbitrage activity.","O-"" O-On O-balance O-, O-the O-Street O-' X-s O-biggest O-position O-has O-been O-U X-##AL O-, O-mostly O-{ O-bought O-} O-in O-the B-$-$ O-280 O-range O-, X-"" O-said O-Frank O-Gallagher O-, O-director O-of O-Phoenix O-Capital O-Markets O-, O-who O-follows O-a X-##rb X-##it X-##rage O-activity O-."
But the arbs were quickly hit with another dose of bad news when Mr. Trump announced that he was withdrawing his proposal to buy AMR at $120 a share.,O-But O-the O-a X-##rb X-##s O-were O-quickly O-hit O-with O-another O-dose O-of O-bad O-news O-when O-Mr X-. O-Trump O-announced O-that O-he O-was O-withdrawing O-his O-proposal O-to O-buy O-AM X-##R O-at B-$-$ O-120 O-a O-share O-.
"After trading in AMR resumed, the stock fell sharply to close at $76.50 a share, down $22.125 on the day in Big Board composite trading of more than 4.7 million shares.","O-After O-trading O-in O-AM X-##R O-resumed O-, O-the O-stock O-fell O-sharply O-to O-close O-at B-$-$ O-76 X-. X-50 O-a O-share O-, O-down B-$-$ O-22 X-. X-125 O-on O-the O-day O-in O-Big O-Board O-composite O-trading O-of O-more O-than O-4 X-. X-7 O-million O-shares O-."
"Mr. Gallagher estimates that arbitragers owned the equivalent of nearly 30% of UAL's stock, or about six million shares, indicating losses of about $350 million.","O-Mr X-. O-Gallagher O-estimates O-that O-a X-##rb X-##it X-##rage X-##rs O-owned O-the O-equivalent O-of O-nearly O-30 O-% O-of O-U X-##AL O-' X-s O-stock O-, O-or O-about O-six O-million O-shares O-, O-indicating O-losses O-of O-about B-$-$ O-350 O-million O-."
"He estimates that arbs own the equivalent of about 10% of AMR's stock, also about six million shares, indicating an additional $130 million in losses.","O-He O-estimates O-that O-a X-##rb X-##s O-own O-the O-equivalent O-of O-about O-10 O-% O-of O-AM X-##R O-' X-s O-stock O-, O-also O-about O-six O-million O-shares O-, O-indicating O-an O-additional B-$-$ O-130 O-million O-in O-losses O-."
"Arbs believed that major banks would easily finance the UAL buy-out group's $6.79 billion bid, and were stunned on Friday when the group couldn't obtain the necessary loans.","O-A X-##rb X-##s O-believed O-that O-major O-banks O-would O-easily O-finance O-the O-U X-##AL O-buy X-- X-out O-group O-' X-s B-$-$ O-6 X-. X-79 O-billion O-bid O-, O-and O-were O-stunned O-on O-Friday O-when O-the O-group O-could O-n X-' X-t O-obtain O-the O-necessary O-loans O-."
"Several traders said they weren't selling UAL shares because they believe the buy-out group will be able to obtain financing to complete the acquisition eventually, although perhaps at a price of less than $300 a share.","O-Several O-traders O-said O-they O-were O-n X-' X-t O-selling O-U X-##AL O-shares O-because O-they O-believe O-the O-buy X-- X-out O-group O-will O-be O-able O-to O-obtain O-financing O-to O-complete O-the O-acquisition O-eventually O-, O-although O-perhaps O-at O-a O-price O-of O-less O-than B-$-$ O-300 O-a O-share O-."
"Gainers among the arb's favorite stocks included Hilton Hotels Corp., which rose $9.50 a share to close at $94.50 in Big Board composite trading, and Warner Communications Inc., which rose $1.875 to close at $63.375.","O-G X-##aine X-##rs O-among O-the O-a X-##rb O-' X-s O-favorite O-stocks O-included O-Hilton O-Hotels O-Corp X-. O-, O-which O-rose B-$-$ O-9 X-. X-50 O-a O-share O-to O-close O-at B-$-$ O-94 X-. X-50 O-in O-Big O-Board O-composite O-trading O-, O-and O-Warner O-Communications O-Inc X-. O-, O-which O-rose B-$-$ O-1 X-. X-87 X-##5 O-to O-close O-at B-$-$ O-63 X-. X-375 O-."
National Semiconductor Corp. said it settled a four-year-old patent infringement case against Linear Technology Corp. by accepting a $3 million payment from Linear in exchange for granting Linear irrevocable licenses for all products involved.,O-National O-Semi X-##conductor O-Corp O-. O-said O-it O-settled O-a O-four X-- X-year X-- X-old O-patent O-infringement O-case O-against O-Line X-##ar O-Technology O-Corp X-. O-by O-accepting O-a B-$-$ O-3 O-million O-payment O-from O-Line X-##ar O-in O-exchange O-for O-granting O-Line X-##ar O-i X-##rre X-##voc X-##able O-licenses O-for O-all O-products O-involved O-.
"The electronics concern said it already has paid $2 million of the settlement to National Semiconductor, Santa Clara, Calif., and will pay the remaining $1 million in equal installments over the next eight quarters.","O-The O-electronics O-concern O-said O-it O-already O-has O-paid B-$-$ O-2 O-million O-of O-the O-settlement O-to O-National O-Semi X-##conductor O-, O-Santa O-Clara O-, O-Cal X-##if X-. O-, O-and O-will O-pay O-the O-remaining B-$-$ O-1 O-million O-in O-equal O-installment X-##s O-over O-the O-next O-eight O-quarters O-."
"Japanese machinery makers received orders totaling 1.465 trillion yen ($10.33 billion) in August, up 14% from a year earlier, the Economic Planning Agency said.","O-Japanese O-machinery O-makers O-received O-orders O-totaling O-1 X-. X-46 X-##5 O-trillion O-ye X-##n B-$-( X-$ O-10 X-. X-33 O-billion O-) O-in O-August O-, O-up O-14 O-% O-from O-a O-year O-earlier O-, O-the O-Economic O-Planning O-Agency O-said O-."
"Profit from the calls goes to charity, but ABC Sports also uses the calls as a sales tool: After thanking callers for voting, Frank Gifford offers a football videotape for $19.95, and 5% of callers stay on the line to order it.","O-Prof X-##it O-from O-the O-calls O-goes O-to O-charity O-, O-but O-ABC O-Sports O-also O-uses O-the O-calls O-as O-a O-sales O-tool O-: O-After O-thank X-##ing O-caller X-##s O-for O-voting O-, O-Frank O-G X-##iff X-##ord O-offers O-a O-football O-video X-##ta X-##pe O-for B-$-$ O-19 X-. X-95 O-, O-and O-5 O-% O-of O-caller X-##s O-stay O-on O-the O-line O-to O-order O-it O-."
The total value of privately held assets is easily more than $15 trillion.,O-The O-total O-value O-of O-privately O-held O-assets O-is O-easily O-more O-than B-$-$ O-15 O-trillion O-.
The value traded on the exchanges is close to $3 trillion.,O-The O-value O-traded O-on O-the O-exchanges O-is O-close O-to B-$-$ O-3 O-trillion O-.
A 30% cut in this year's capital gains alone amounts to roughly $50 billion.,O-A O-30 O-% O-cut O-in O-this O-year O-' X-s O-capital O-gains O-alone O-amounts O-to O-roughly B-$-$ O-50 O-billion O-.
"IBM plans to buy back $1 billion of its common shares, a move likely to help the computer giant's battered stock.","O-IBM O-plans O-to O-buy O-back B-$-$ O-1 O-billion O-of O-its O-common O-shares O-, O-a O-move O-likely O-to O-help O-the O-computer O-giant O-' X-s O-battered O-stock O-."
"UAL's stock fell $6.25, to $191.75.","O-U X-##AL O-' X-s O-stock O-fell B-$-$ O-6 X-. X-25 O-, O-to B-$-$ O-191 X-. X-75 O-."
"Sears is negotiating to refinance its Sears Tower for close to $850 million, sources said.","O-Sears O-is O-negotiating O-to O-re X-##fin X-##ance O-its O-Sears O-Tower O-for O-close O-to B-$-$ O-850 O-million O-, O-sources O-said O-."
"A dollar invested in the stock market in 1926 would have grown to $473.29 by the end of last June, according to Laurence Siegel, managing director at Ibbotson Associates Inc.","O-A O-dollar O-invested O-in O-the O-stock O-market O-in O-1926 O-would O-have O-grown O-to B-$-$ O-47 X-##3 X-. X-29 O-by O-the O-end O-of O-last O-June O-, O-according O-to O-Laurence O-Siege X-##l O-, O-managing O-director O-at O-I X-##bb X-##ots X-##on O-Associates O-Inc O-."
"But a dollar invested in long-term bonds in 1926 would have grown to only $16.56, and a dollar put in Treasury bills would equal a meager $9.29.","O-But O-a O-dollar O-invested O-in O-long X-- X-term O-bonds O-in O-1926 O-would O-have O-grown O-to O-only B-$-$ O-16 X-. X-56 O-, O-and O-a O-dollar O-put O-in O-Treasury O-bills O-would O-equal O-a O-me X-##ager B-$-$ O-9 X-. X-29 O-."
"But once the basics are covered, ""then I would start to invest, even if it's as little as $1,000,"" says Michael Lipper, president of Lipper Analytical Services Inc.","O-But O-once O-the O-basic X-##s O-are O-covered O-, O-"" O-then O-I O-would O-start O-to O-invest O-, O-even O-if O-it O-' X-s O-as O-little O-as B-$-$ O-1 X-, X-000 O-, X-"" O-says O-Michael O-Li X-##pper O-, O-president O-of O-Li X-##pper O-Ana X-##ly X-##tical O-Services O-Inc O-."
"""Unless an individual has a minimum of between $50,000 and $100,000 to invest in stocks, he's still better off in mutual funds than in individual stocks, in terms of getting enough attention from a competent broker,"" says Mr. Lipper.","O-"" O-Unless O-an O-individual O-has O-a O-minimum O-of O-between B-$-$ O-50 X-, X-000 O-and B-$-$ O-100 X-, X-000 O-to O-invest O-in O-stocks O-, O-he O-' X-s O-still O-better O-off O-in O-mutual O-funds O-than O-in O-individual O-stocks O-, O-in O-terms O-of O-getting O-enough O-attention O-from O-a O-competent O-broker O-, X-"" O-says O-Mr X-. O-Li X-##pper O-."
But there still may be prolonged debate and political maneuvering that holds up the $156.7 billion funding bill for the fiscal year that began Oct. 1.,O-But O-there O-still O-may O-be O-prolonged O-debate O-and O-political O-maneuver X-##ing O-that O-holds O-up O-the B-$-$ O-156 X-. X-7 O-billion O-funding O-bill O-for O-the O-fiscal O-year O-that O-began O-Oct X-. O-1 O-.
"American Business Computer Corp. said it privately placed 1,035,000 common shares at $2.50 a share.","O-American O-Business O-Computer O-Corp O-. O-said O-it O-privately O-placed O-1 X-, X-03 X-##5 X-, X-000 O-common O-shares O-at B-$-$ O-2 X-. X-50 O-a O-share O-."
"Each of the 1,075,000 warrants entitle the holders to purchase one share of Apogee common stock for $2.25.","O-Each O-of O-the O-1 X-, X-07 X-##5 X-, X-000 O-warrant X-##s O-en X-##ti X-##tle O-the O-holders O-to O-purchase O-one O-share O-of O-A X-##po X-##gee O-common O-stock O-for B-$-$ O-2 X-. X-25 O-."
Apogee was quoted in the over-the-counter market yesterday at $2 bid.,O-A X-##po X-##gee O-was O-quoted O-in O-the O-over X-- X-the X-- X-counter O-market O-yesterday O-at B-$-$ O-2 O-bid O-.
"MEDUSA Corp. said it voluntarily prepaid $7 million on its original $75 million term loan, bringing the total debt reduction for the year to $18 million.","O-ME X-##D X-##US X-##A O-Corp O-. O-said O-it O-voluntarily O-pre X-##pa X-##id B-$-$ O-7 O-million O-on O-its O-original B-$-$ O-75 O-million O-term O-loan O-, O-bringing O-the O-total O-debt O-reduction O-for O-the O-year O-to B-$-$ O-18 O-million O-."
"After the payment, the Cleveland company owes $57 million on the loan.","O-After O-the O-payment O-, O-the O-Cleveland O-company O-owes B-$-$ O-57 O-million O-on O-the O-loan O-."
"The initial $11 million research program will conduct the most extensive testing to date of reformulated gasolines, said Joe Colucci, head of fuels and lubricants at General Motors Corp. research laboratories.","O-The O-initial B-$-$ O-11 O-million O-research O-program O-will O-conduct O-the O-most O-extensive O-testing O-to O-date O-of O-reform X-##ulated O-gasoline X-##s O-, O-said O-Joe O-Col X-##ucci O-, O-head O-of O-fuels O-and O-l X-##ub X-##rica X-##nts O-at O-General O-Motors O-Corp O-. O-research O-laboratories O-."
"In August, soon after Wang Laboratories Inc. reported a staggering $424.3 million loss and replaced its president, two Boston sales representatives sent customers a letter saying: ""We fully expect that you will soon be reading stories in the press reporting the `Amazing Comeback at Wang. '""","O-In O-August O-, O-soon O-after O-Wang O-Laboratories O-Inc O-. O-reported O-a O-s X-##tag X-##gering B-$-$ O-42 X-##4 X-. X-3 O-million O-loss O-and O-replaced O-its O-president O-, O-two O-Boston O-sales O-representatives O-sent O-customers O-a O-letter O-saying O-: O-"" O-We O-fully O-expect O-that O-you O-will O-soon O-be O-reading O-stories O-in O-the O-press O-reporting O-the O-` O-Amazing O-Come X-##back O-at O-Wang O-. O-' X-"""
"After the company reported red ink for the fiscal third quarter, Wang's marketing department provided the sales force answers to questions such as ""How could you not have known you were going to lose $55 million?""","O-After O-the O-company O-reported O-red O-ink O-for O-the O-fiscal O-third O-quarter O-, O-Wang O-' X-s O-marketing O-department O-provided O-the O-sales O-force O-answers O-to O-questions O-such O-as O-"" O-How O-could O-you O-not O-have O-known O-you O-were O-going O-to O-lose B-$-$ O-55 O-million O-? O-"""
"Mike Metschan, a salesman in Wang's Austin, Texas, office, has a breezier method: ""We tell them $3 billion companies don't go out of business.","O-Mike O-Mets X-##chan O-, O-a O-salesman O-in O-Wang O-' X-s O-Austin O-, O-Texas O-, O-office O-, O-has O-a O-br X-##ee X-##zier O-method O-: O-"" O-We O-tell O-them B-$-$ O-3 O-billion O-companies O-do O-n X-' X-t O-go O-out O-of O-business O-."
"The university is considering installing a $250,000 system to store applications electronically.","O-The O-university O-is O-considering O-installing O-a B-$-$ O-250 X-, X-000 O-system O-to O-store O-applications O-electronic X-##ally O-."
"William Tait, a former sales manager in Indianapolis, says that his office had all but sold a $1.5 million image system to pharmaceutical maker Eli Lilly & Co. ""When they were making the decision, all hell broke loose with the finances.""","O-William O-Tai X-##t O-, O-a O-former O-sales O-manager O-in O-Indianapolis O-, O-says O-that O-his O-office O-had O-all O-but O-sold O-a B-$-$ O-1 X-. X-5 O-million O-image O-system O-to O-pharmaceutical O-maker O-Eli O-Lilly O-& O-Co O-. O-"" O-When O-they O-were O-making O-the O-decision O-, O-all O-hell O-broke O-loose O-with O-the O-finances O-. O-"""
"For Mr. Tait, who says he used to earn as much as $150,000 a year at Wang, it was one more reason to quit.","O-For O-Mr X-. O-Tai X-##t O-, O-who O-says O-he O-used O-to O-earn O-as O-much O-as B-$-$ O-150 X-, X-000 O-a O-year O-at O-Wang O-, O-it O-was O-one O-more O-reason O-to O-quit O-."
"BroadBeach Associates Inc., the Los Angeles investment partnership whose $62-a-share bid for McGill Manufacturing Co. was topped recently by a competing offer from a Swedish concern, disclosed that it sold its entire 7% McGill stake.","O-Broad X-##B X-##each O-Associates O-Inc X-. O-, O-the O-Los O-Angeles O-investment O-partnership O-whose B-$-$ O-62 X-- X-a X-- X-share O-bid O-for O-McGill O-Manufacturing O-Co X-. O-was O-topped O-recently O-by O-a O-competing O-offer O-from O-a O-Swedish O-concern O-, O-disclosed O-that O-it O-sold O-its O-entire O-7 O-% O-McGill O-stake O-."
"It has since asked holders not to immediately tender their shares under a recent $72-a-share, or $104 million, bid from AB SKF of Sweden, until McGill directors have completed their evaluation.","O-It O-has O-since O-asked O-holders O-not O-to O-immediately O-tender O-their O-shares O-under O-a O-recent B-$-$ O-72 X-- X-a X-- X-share O-, O-or B-$-$ O-104 O-million O-, O-bid O-from O-AB O-SK X-##F O-of O-Sweden O-, O-until O-McGill O-directors O-have O-completed O-their O-evaluation O-."
"In a Securities and Exchange Commission filing, BroadBeach said it sold the 101,000 McGill shares for $7.3 million in a private transaction on Oct. 12.","O-In O-a O-Securities O-and O-Exchange O-Commission O-filing O-, O-Broad X-##B X-##each O-said O-it O-sold O-the O-101 X-, X-000 O-McGill O-shares O-for B-$-$ O-7 X-. X-3 O-million O-in O-a O-private O-transaction O-on O-Oct X-. O-12 O-."
"BroadBeach didn't identify the buyer of the shares, but the date of the selloff followed by one day the Swedish concern's tender offer, and the indicated price of the shares sold equals SKF's $72-a-share tender offer price.","O-Broad X-##B X-##each O-did O-n X-' X-t O-identify O-the O-buyer O-of O-the O-shares O-, O-but O-the O-date O-of O-the O-sell X-##off O-followed O-by O-one O-day O-the O-Swedish O-concern O-' X-s O-tender O-offer O-, O-and O-the O-indicated O-price O-of O-the O-shares O-sold O-equals O-SK X-##F O-' X-s B-$-$ O-72 X-- X-a X-- X-share O-tender O-offer O-price O-."
I have a question for Mr. Laband: How do I explain to the single mother of three standing in line next to me for the past three hours that the two bags of ice she needs to keep her children's food edible will take her last $20?,O-I O-have O-a O-question O-for O-Mr X-. O-Lab X-##and O-: O-How O-do O-I O-explain O-to O-the O-single O-mother O-of O-three O-standing O-in O-line O-next O-to O-me O-for O-the O-past O-three O-hours O-that O-the O-two O-bags O-of O-ice O-she O-needs O-to O-keep O-her O-children O-' X-s O-food O-edible O-will O-take O-her O-last B-$-$ O-20 O-?
